,drug1,drug2,count
0,2718,1125,5
1,2356,1125,3
2,1525,1125,5
3,1513,1125,5
4,2718,2356,3
5,2718,1525,5
6,2718,1513,5
7,2356,1525,3
8,2356,1513,3
9,1525,1513,5
10,1709,1513,4
11,1796,1513,2
12,1513,1078,2
13,1709,1525,4
14,1796,1525,2
15,1525,1078,2
16,1709,1125,4
17,1796,1125,2
18,1125,1078,2
19,2718,1709,4
20,2718,1796,2
21,2718,1078,2
22,2356,1709,2
23,2356,1796,2
24,2356,1078,2
25,1796,1709,3
26,1709,1078,3
27,1796,1078,3
28,4598,1708,5
29,3917,1333,1
30,3464,1333,1
31,3917,3464,1
32,1150,1009,1
33,1122,1009,1
34,1150,1122,1
35,1933,1854,1
36,1854,1333,1
37,4539,1854,1
38,1933,1333,1
39,4539,1933,1
40,4539,1333,1
41,4636,1333,1
42,1721,1333,1
43,1843,1333,1
44,1358,1333,1
45,4636,1721,2
46,4636,1843,1
47,4636,1358,1
48,1843,1721,1
49,1721,1358,1
50,1843,1358,1
51,2354,1506,1
52,2354,1721,2
53,3479,2354,2
54,2354,1934,1
55,1721,1506,1
56,3479,1506,1
57,1934,1506,1
58,3479,1721,2
59,1934,1721,1
60,3479,1934,1
61,4636,2354,1
62,4636,3479,1
63,1843,1513,1
64,1843,1525,1
65,1843,1125,1
66,2718,1843,1
67,1843,1709,1
68,2170,1506,2
69,2209,2170,2
70,2170,1318,2
71,2680,2170,1
72,2209,1506,2
73,1506,1318,2
74,2680,1506,1
75,2209,1318,2
76,2680,2209,1
77,2680,1318,1
78,2403,1806,1
79,4389,1423,2
80,3636,1063,1
81,3636,1313,1
82,1313,1063,1
83,1506,1018,1
84,1318,1018,1
85,2209,1018,1
86,2170,1018,1
87,4210,1252,1
88,4389,4210,1
89,4210,1832,1
90,4210,1612,1
91,4210,1014,1
92,4389,1252,1
93,1832,1252,1
94,1612,1252,1
95,1252,1014,1
96,4389,1832,1
97,4389,1612,1
98,4389,1014,1
99,1832,1612,1
100,1832,1014,1
101,1612,1014,1
102,1333,1052,1
103,2121,1333,1
104,2121,1052,1
105,2403,2228,1
