코드,제형,주성분명칭,분류번호,투여,함량,단위
100101AGN,GN,상황균사체엑스,421,내복,1.1,g
100101ALQ,LQ,상황균사체엑스,421,내복,1.1,g
100101APD,PD,phellinus linteus mycelliun ext.,421,내복,1.1,g
100102ACH,CH,phellinus linteus mycelliun ext.,421,내복,0.55,g
100102ALQ,LQ,phellinus linteus mycelliun ext.,421,내복,1.1,g(55mg/mL)
100130ALQ,LQ,phellinus linteus mycelliun ext.,421,내복,1.1,g(36.667mg/mL)
100201BIJ,IJ,인과립구 대식세포 콜로니자극인자,339,주사,250,㎍
100202BIJ,IJ,인과립구 대식세포 콜로니자극인자,339,주사,400,㎍
100301ACH,CH,magnesium trihydrate salt of chenodesoxycholic acid and ursodesoxycholic acid,236,내복,0.25,g
100401BIJ,IJ,abciximab,219,주사,10,mg
100402BIJ,IJ,abciximab,219,주사,5,mg
100430BIJ,IJ,abciximab,219,주사,5,mg(2mg/mL)
100431BIJ,IJ,abciximab,219,주사,10,mg(2mg/mL)
100501ATB,TB,acamprosate,119,내복,333,mg
100501ATE,TE,acamprosate,119,내복,0.333,g
100601ATB,TB,acarbose,396,내복,0.1,g
100602ATB,TB,acarbose,396,내복,50,mg
100701ACH,CH,acebrophylline,229,내복,0.1,g
100702ATR,TR,acebrophylline,229,내복,0.2,g
100801ACH,CH,acebutolol HCl,219,내복,222,mg
100802ATB,TB,acebutolol HCl,219,내복,443.4,mg
100901ACH,CH,aceclofenac,114,내복,0.1,g
100901ACS,CS,aceclofenac,114,내복,0.1,g
100901ATB,TB,aceclofenac,114,내복,0.1,g
100901ATR,TR,aceclofenac,114,내복,100,mg
100902ACH,CH,aceclofenac,114,내복,70,mg
100903ATR,TR,aceclofenac,114,내복,0.2,g
101001ACH,CH,acemetacin,114,내복,60,mg
101101AEL,EL,acepifyline,229,내복,24.96,mg
101102ATB,TB,acepifylline,229,내복,0.25,g
101201COM,OM,acetamidocaproic acid,269,외용,50,mg
101301AEL,EL,acetaminophen,114,내복,24,mg
101302CLQ,LQ,acetaminophen,114,외용,125,mg
101302CSP,SP,acetaminophen,114,외용,0.125,g
101303ACH,CH,acetaminophen,114,내복,300,mg
101303ATB,TB,acetaminophen,114,내복,0.3,g
101304AEL,EL,acetaminophen,114,내복,32,mg
